meal_name,Carbs,Proteins,Fats,Calories,Meal_Time,p_ratio,c_ratio,f_ratio,Food_Cluster,Meal_Plan
tequila sunrise,23.8,0.6,0.2,232.0,Snack,0.024390243902439022,0.9674796747967479,0.008130081300813007,1,HIIT
daiquiri,4.2,0.035,0.036,112.0,Snack,0.008194802154062281,0.9833762584874737,0.008428939358464059,1,HIIT
pina colada,32.0,0.6,2.7,245.0,Breakfast,0.016997167138810197,0.9065155807365438,0.07648725212464588,1,HIIT
whiskey,0.1,0.0,0.0,58.0,Snack,0.0,1.0,0.0,1,HIIT
coffee liqueur,13.8,0.041,0.038,96.0,Breakfast,0.002954103321564954,0.994307947258448,0.0027379494199870303,1,HIIT
gin,0.0,0.0,0.0,53.0,Snack,0.0,0.0,0.0,4,Endurance
dessert wine sweet,14.1,0.2,0.0,165.0,Snack,0.013986013986013988,0.986013986013986,0.0,1,HIIT
chenin blanc white wine,4.9,0.1,0.0,118.0,Snack,0.02,0.9800000000000001,0.0,1,HIIT
gamay red wine,3.5,0.1,0.0,115.0,Snack,0.02777777777777778,0.9722222222222222,0.0,1,HIIT
late harvest white wine,20.6,0.1,0.0,172.0,Snack,0.004830917874396135,0.9951690821256038,0.0,1,HIIT
gewurztraminer white wine,3.8,0.1,0.0,119.0,Snack,0.025641025641025644,0.9743589743589743,0.0,1,HIIT
burgundy red wine,7.4,0.1,0.0,172.0,Snack,0.013333333333333334,0.9866666666666667,0.0,1,HIIT
zinfandel red wine,4.2,0.1,0.0,129.0,Snack,0.023255813953488375,0.9767441860465117,0.0,1,HIIT
muller thurgau white wine,5.2,0.1,0.0,112.0,Snack,0.01886792452830189,0.9811320754716982,0.0,1,HIIT
mouvedre red wine,3.9,0.1,0.0,129.0,Snack,0.025,0.975,0.0,1,HIIT
table wine,4.0,0.1,0.0,123.0,Snack,0.02439024390243903,0.9756097560975611,0.0,1,HIIT
wine light,1.7,0.1,0.0,73.0,Snack,0.05555555555555556,0.9444444444444444,0.0,1,HIIT
white wine,3.8,0.1,0.0,121.0,Snack,0.025641025641025644,0.9743589743589743,0.0,1,HIIT
petite sirah red wine,3.9,0.1,0.0,125.0,Snack,0.025,0.975,0.0,1,HIIT
pinot noir red wine,3.4,0.1,0.0,121.0,Snack,0.028571428571428574,0.9714285714285714,0.0,1,HIIT
pinot gris grigio white wine,3.0,0.1,0.0,122.0,Snack,0.03225806451612903,0.9677419354838709,0.0,1,HIIT
riesling white wine,5.5,0.1,0.0,118.0,Snack,0.01785714285714286,0.9821428571428572,0.0,1,HIIT
barbera red wine,5.6,0.1,0.0,170.0,Snack,0.01754385964912281,0.9824561403508772,0.0,1,HIIT
lemberger red wine,3.6,0.1,0.0,118.0,Snack,0.02702702702702703,0.9729729729729729,0.0,1,HIIT
merlot red wine,3.7,0.1,0.0,122.0,Snack,0.02631578947368421,0.9736842105263158,0.0,1,HIIT
sangiovese red wine,3.9,0.1,0.0,126.0,Snack,0.025,0.975,0.0,1,HIIT
sauvignon blanc white wine,3.0,0.1,0.0,119.0,Snack,0.03225806451612903,0.9677419354838709,0.0,1,HIIT
syrah red wine,3.8,0.1,0.0,122.0,Snack,0.025641025641025644,0.9743589743589743,0.0,1,HIIT
carignane red wine,12.0,0.4,0.0,370.0,Lunch,0.03225806451612903,0.9677419354838709,0.0,1,HIIT
pinot blanc white wine,2.9,0.1,0.0,119.0,Snack,0.03333333333333333,0.9666666666666667,0.0,1,HIIT
semillon white wine,4.6,0.1,0.0,121.0,Snack,0.021276595744680854,0.9787234042553192,0.0,1,HIIT
dessert wine dry,58.4,1.0,0.0,760.0,Breakfast,0.016835016835016835,0.9831649831649831,0.0,1,HIIT
red wine,3.8,0.1,0.0,125.0,Snack,0.025641025641025644,0.9743589743589743,0.0,1,HIIT
cabernet sauvignon red wine,5.2,0.1,0.0,166.0,Snack,0.01886792452830189,0.9811320754716982,0.0,1,HIIT
muscat white wine,7.8,0.1,0.0,123.0,Snack,0.012658227848101267,0.9873417721518988,0.0,1,HIIT
chardonnay white wine,4.3,0.1,0.0,168.0,Snack,0.02272727272727273,0.9772727272727274,0.0,1,HIIT
claret red wine,4.4,0.1,0.0,122.0,Snack,0.022222222222222223,0.9777777777777779,0.0,1,HIIT
rice sake,7.4,0.7,0.0,197.0,Lunch,0.08641975308641975,0.9135802469135803,0.0,1,HIIT
fume blanc white wine,3.3,0.1,0.0,121.0,Snack,0.029411764705882356,0.9705882352941176,0.0,1,HIIT
cabarnet franc red wine,3.6,0.1,0.0,122.0,Snack,0.02702702702702703,0.9729729729729729,0.0,1,HIIT
chocolate frosting,13.0,0.2,3.6,81.0,Snack,0.011904761904761904,0.7738095238095237,0.21428571428571427,1,HIIT
egg substitute,4.8,24.0,0.0,115.0,Breakfast,0.8333333333333333,0.16666666666666666,0.0,2,Build Muscle
splenda sweetener,91.2,0.0,0.0,336.0,Breakfast,0.0,1.0,0.0,1,HIIT
baking chocolate,8.7,3.7,15.2,145.0,Snack,0.13405797101449277,0.31521739130434784,0.5507246376811594,4,Endurance
fondant,26.4,0.0,0.009,106.0,Snack,0.0,0.9996592070884925,0.0003407929115074406,1,HIIT
white frosting dry,196.4,4.8,0.0,768.0,Breakfast,0.023856858846918485,0.9761431411530814,0.0,1,HIIT
saccharin sweetener,89.1,0.9,0.0,360.0,Breakfast,0.01,0.99,0.0,1,HIIT
aspartame sweetener,89.1,2.2,0.0,365.0,Breakfast,0.024096385542168676,0.9759036144578312,0.0,1,HIIT
egg raw,0.4,7.0,5.3,80.0,Breakfast,0.5511811023622047,0.03149606299212599,0.4173228346456693,0,Weight Loss
pineapple topping,225.8,0.3,0.3,860.0,Snack,0.0013250883392226145,0.9973498233215546,0.0013250883392226145,1,HIIT
egg yolk raw,0.6,2.7,4.5,55.0,Breakfast,0.34615384615384615,0.07692307692307691,0.5769230769230769,0,Weight Loss
strawberry topping,13.9,0.014,0.096,53.0,Snack,0.0009992862241256246,0.9921484653818702,0.006852248394004283,1,HIIT
popover dry mix,120.7,17.7,7.3,631.0,Lunch,0.12148249828414548,0.8284145504461221,0.05010295126973232,1,HIIT
egg substitute powder,6.2,15.7,3.7,126.0,Breakfast,0.61328125,0.24218750000000003,0.14453125000000003,2,Build Muscle
tapioca pearls,134.8,0.3,0.093,544.0,Breakfast,0.0022190498028744087,0.9970930447582346,0.0006879054388910668,1,HIIT
egg boiled,0.7,7.5,6.4,93.0,Breakfast,0.5136986301369864,0.04794520547945205,0.4383561643835617,0,Weight Loss
millet flour,86.9,12.8,5.1,444.0,Lunch,0.12213740458015268,0.8291984732824428,0.04866412213740458,1,HIIT
triticale flour,95.1,17.1,2.4,439.0,Lunch,0.1492146596858639,0.8298429319371727,0.020942408376963352,1,HIIT
corn flour white,87.3,9.6,4.2,414.0,Breakfast,0.09495548961424333,0.8635014836795253,0.04154302670623146,1,HIIT
rice flour brown,120.8,11.4,4.4,574.0,Lunch,0.08345534407027819,0.8843338213762811,0.032210834553440704,1,HIIT
sorghum flour,93.7,9.5,4.0,437.0,Breakfast,0.08861940298507462,0.8740671641791045,0.03731343283582089,1,HIIT
cornmeal whole grain,93.8,9.9,4.4,442.0,Breakfast,0.091581868640148,0.8677150786308973,0.04070305272895467,1,HIIT
cornmeal white,124.7,11.2,2.7,581.0,Lunch,0.0808080808080808,0.8997113997113998,0.019480519480519484,1,HIIT
